anio,codigo_departamento,departamento,ev_registrados,hev_registrados,pib_const_2015
2018,91,AMAZONAS,1,0,226.74
2020,91,AMAZONAS,0,1,224.38
2010,05,ANTIOQUIA,12,0,51335.29
2011,05,ANTIOQUIA,45,0,55934.04
2012,05,ANTIOQUIA,57,1,38785.45
2013,05,ANTIOQUIA,58,1,60119.33
2014,05,ANTIOQUIA,77,2,63844.91
2015,05,ANTIOQUIA,127,0,66385.03
2016,05,ANTIOQUIA,138,3,68446.12
2017,05,ANTIOQUIA,126,30,69088.28
2018,05,ANTIOQUIA,179,292,71450.36
2019,05,ANTIOQUIA,326,1168,73286.04
2020,05,ANTIOQUIA,464,1725,68084.14
2021,05,ANTIOQUIA,475,3451,75723.72
2022,05,ANTIOQUIA,646,4834,79877.02
2015,81,ARAUCA,3,0,3394.02
2019,81,ARAUCA,0,1,3279.27
2021,81,ARAUCA,0,1,3319.72
2022,81,ARAUCA,2,1,3325.37
2014,08,ATLANTICO,1,0,16540.85
2015,08,ATLANTICO,1,1,17736.81
2017,08,ATLANTICO,0,1,18288.47
2018,08,ATLANTICO,1,4,18371.36
2019,08,ATLANTICO,9,29,18493.34
2020,08,ATLANTICO,5,54,15399.88
2021,08,ATLANTICO,10,283,18823.29
2022,08,ATLANTICO,13,434,20723.92
2010,11,BOGOTA,10,0,87389.63
2011,11,BOGOTA,32,4,92463.52
2012,11,BOGOTA,57,8,94935.61
2013,11,BOGOTA,220,3,97468.43
2014,11,BOGOTA,64,219,101225.7
2015,11,BOGOTA,188,73,105815.79
2016,11,BOGOTA,120,73,108467.3
2017,11,BOGOTA,84,29,109832.47
2018,11,BOGOTA,212,174,112816.49
2019,11,BOGOTA,456,550,115146.24
2020,11,BOGOTA,707,1954,108776.95
2021,11,BOGOTA,548,8177,117809.92
2022,11,BOGOTA,1979,9566,129544.51
2010,13,BOLIVAR,5,0,12523.46
2015,13,BOLIVAR,2,0,15259.48
2016,13,BOLIVAR,1,0,16243.81
2018,13,BOLIVAR,0,1,16840.85
2019,13,BOLIVAR,0,9,17385.13
2020,13,BOLIVAR,3,8,15698.48
2021,13,BOLIVAR,11,52,17503.89
2022,13,BOLIVAR,18,115,19115.05
2016,15,BOYACA,1,0,12993.13
2017,15,BOYACA,0,1,13055.38
2018,15,BOYACA,1,4,13428.65
2019,15,BOYACA,0,18,13536.54
2020,15,BOYACA,3,17,12181.6
2021,15,BOYACA,2,151,12661.93
2022,15,BOYACA,5,251,13540.15
2015,17,CALDAS,5,0,5181.27
2016,17,CALDAS,7,0,6702.83
2017,17,CALDAS,1,1,6801.71
2018,17,CALDAS,4,9,6933.39
2019,17,CALDAS,6,37,7040.02
2020,17,CALDAS,5,41,6651.14
2021,17,CALDAS,10,267,7171.22
2022,17,CALDAS,3,354,7614.46
2012,18,CAQUETA,1,0,1507.51
2013,18,CAQUETA,1,0,1583.84
2015,18,CAQUETA,7,0,1614.07
2020,18,CAQUETA,0,1,1524.41
2021,18,CAQUETA,0,38,1586.21
2022,18,CAQUETA,0,39,1583.94
2014,85,CASANARE,2,0,9792.74
2015,85,CASANARE,1,0,9705.83
2019,85,CASANARE,0,2,9630.64
2020,85,CASANARE,0,1,8593.41
2021,85,CASANARE,2,30,8413.94
2022,85,CASANARE,10,35,8455.41
2015,19,CAUCA,5,0,8393.05
2016,19,CAUCA,1,0,8591.81
2018,19,CAUCA,0,2,8475.95
2019,19,CAUCA,2,1,8638.77
2020,19,CAUCA,2,7,8048.39
2021,19,CAUCA,1,41,8656.11
2022,19,CAUCA,13,61,9208.92
2019,20,CESAR,2,4,10832.31
2020,20,CESAR,0,9,8889.86
2021,20,CESAR,0,37,8674.77
2022,20,CESAR,0,89,9104.94
2012,27,CHOCO,4,0,2651.88
2013,27,CHOCO,2,0,2101.23
2021,27,CHOCO,0,1,1619.13
2013,23,CORDOBA,1,0,6315.86
2014,23,CORDOBA,10,0,6404.25
2015,23,CORDOBA,6,0,6393.15
2019,23,CORDOBA,0,2,6546.86
2020,23,CORDOBA,14,4,6179.26
2021,23,CORDOBA,0,53,6699.75
2022,23,CORDOBA,0,88,7201.33
2010,25,CUNDINAMARCA,16,0,23704.96
2011,25,CUNDINAMARCA,18,0,26299.63
2012,25,CUNDINAMARCA,1,0,27013.67
2013,25,CUNDINAMARCA,1,1,28129.53
2014,25,CUNDINAMARCA,4,1,28643.85
2015,25,CUNDINAMARCA,19,2,29970.47
2016,25,CUNDINAMARCA,76,1,31170.15
2017,25,CUNDINAMARCA,5,3,31478.83
2018,25,CUNDINAMARCA,11,14,31999.32
2019,25,CUNDINAMARCA,109,74,32356.14
2020,25,CUNDINAMARCA,112,282,30029.62
2021,25,CUNDINAMARCA,282,1148,32801.77
2022,25,CUNDINAMARCA,235,2273,35783.12
2021,94,GUAINIA,2,0,129.42
2014,41,HUILA,10,0,8157.84
2015,41,HUILA,6,0,7891.04
2016,41,HUILA,6,0,7590.03
2017,41,HUILA,3,0,7119.12
2018,41,HUILA,0,2,7126.09
2019,41,HUILA,0,8,7235.1
2020,41,HUILA,3,17,6900.36
2021,41,HUILA,5,67,7237.42
2022,41,HUILA,7,116,7425.46
2019,44,LA GUAJIRA,0,3,5227.55
2020,44,LA GUAJIRA,0,4,3455.9
2021,44,LA GUAJIRA,0,8,4841.59
2022,44,LA GUAJIRA,0,9,4562.34
2012,47,MAGDALENA,1,0,4841.96
2013,47,MAGDALENA,0,1,5009.66
2014,47,MAGDALENA,0,2,4636.04
2015,47,MAGDALENA,1,1,4813.19
2017,47,MAGDALENA,0,1,4874.62
2018,47,MAGDALENA,0,2,4907.18
2020,47,MAGDALENA,0,3,4682.3
2021,47,MAGDALENA,1,24,5002.4
2022,47,MAGDALENA,2,37,5242.97
2011,50,META,2,0,20400.26
2012,50,META,2,0,21963.8
2013,50,META,1,0,24434.28
2014,50,META,9,0,23498.32
2015,50,META,3,0,24048.35
2016,50,META,3,0,22240.3
2017,50,META,1,0,21827.73
2018,50,META,1,1,22012.91
2019,50,META,1,9,23083.79
2020,50,META,8,43,21068.39
2021,50,META,15,145,20542.08
2022,50,META,24,220,21498.61
2015,52,NARINO,1,0,5952.07
2016,52,NARINO,1,0,6278.29
2017,52,NARINO,1,0,5839.29
2018,52,NARINO,1,3,5836.86
2019,52,NARINO,0,3,5960.48
2020,52,NARINO,0,9,5686.06
2021,52,NARINO,2,98,5921.2
2022,52,NARINO,2,135,6126.03
2013,54,NORTE DE SANTANDER,5,0,5939.8
2014,54,NORTE DE SANTANDER,6,0,6239.45
2015,54,NORTE DE SANTANDER,3,0,6244.16
2016,54,NORTE DE SANTANDER,4,0,6656.89
2017,54,NORTE DE SANTANDER,2,0,6410.12
2018,54,NORTE DE SANTANDER,2,6,6600.1
2019,54,NORTE DE SANTANDER,1,57,6497.89
2020,54,NORTE DE SANTANDER,0,123,6080.07
2021,54,NORTE DE SANTANDER,14,696,6411.49
2022,54,NORTE DE SANTANDER,15,1416,6805.31
2015,63,QUINDIO,2,0,3341.63
2016,63,QUINDIO,1,0,3507.6
2018,63,QUINDIO,1,0,3535.09
2019,63,QUINDIO,2,4,3570.53
2020,63,QUINDIO,4,24,3334.04
2021,63,QUINDIO,0,112,3566.08
2022,63,QUINDIO,3,151,3780.45
2011,66,RISARALDA,2,0,5394.92
2014,66,RISARALDA,1,0,6335.08
2015,66,RISARALDA,7,0,6387.59
2016,66,RISARALDA,12,0,6559.27
2017,66,RISARALDA,5,0,6582.75
2018,66,RISARALDA,4,2,6719.83
2019,66,RISARALDA,1,31,6872.3
2020,66,RISARALDA,3,52,6503.37
2021,66,RISARALDA,7,241,7033.96
2022,66,RISARALDA,29,561,7709.89
2011,68,SANTANDER,5,0,31480.15
2012,68,SANTANDER,2,1,32509.05
2013,68,SANTANDER,1,0,33729.64
2014,68,SANTANDER,33,0,37062.53
2015,68,SANTANDER,62,0,32777.24
2016,68,SANTANDER,21,0,37418.06
2017,68,SANTANDER,3,0,37836.24
2018,68,SANTANDER,2,10,38093.83
2019,68,SANTANDER,10,51,38934.37
2020,68,SANTANDER,7,60,35004.64
2021,68,SANTANDER,46,149,38292.19
2022,68,SANTANDER,54,162,40912.89
2021,70,SUCRE,0,66,3196.23
2022,70,SUCRE,0,82,3326.25
2016,73,TOLIMA,7,0,10022.93
2018,73,TOLIMA,2,6,10127.11
2019,73,TOLIMA,0,14,10245.84
2020,73,TOLIMA,1,25,9536.01
2021,73,TOLIMA,0,102,9965.05
2022,73,TOLIMA,3,271,10310.37
2010,76,VALLE DEL CAUCA,1,0,36211.33
2011,76,VALLE DEL CAUCA,4,0,37698.81
2012,76,VALLE DEL CAUCA,25,0,39130.48
2013,76,VALLE DEL CAUCA,10,0,40653.73
2014,76,VALLE DEL CAUCA,34,0,42580.24
2015,76,VALLE DEL CAUCA,59,0,43888.15
2016,76,VALLE DEL CAUCA,32,0,44872.67
2017,76,VALLE DEL CAUCA,16,0,45455.6
2018,76,VALLE DEL CAUCA,21,16,46987.77
2019,76,VALLE DEL CAUCA,54,129,48157.94
2020,76,VALLE DEL CAUCA,66,221,46127.59
2021,76,VALLE DEL CAUCA,102,920,49412.31
2022,76,VALLE DEL CAUCA,104,1408,53030.34
